horasEstudo,numeroFaltas,media,suporte,reforco,cluster
0.02,0.45,0.47,0.75,0.00,2
0.22,0.62,0.41,0.75,1.00,4
0.06,0.38,0.59,1.00,0.00,2
0.10,0.69,0.32,0.75,1.00,4
0.43,0.86,0.04,0.25,0.00,0
0.23,0.83,0.32,0.50,1.00,4
0.52,0.17,0.66,0.50,0.00,1
0.25,0.07,0.67,0.00,0.00,1
0.94,0.86,0.41,1.00,0.00,3
0.91,0.83,0.35,0.00,1.00,4
0.57,0.72,0.40,0.50,1.00,4
0.35,0.66,0.30,0.50,0.00,0
0.38,0.52,0.50,0.50,0.00,0
0.41,1.00,0.06,0.75,0.00,2
0.73,0.66,0.31,0.50,0.00,3
0.45,0.79,0.21,0.25,0.00,0
0.86,0.76,0.24,0.25,0.00,3
0.95,0.55,0.61,1.00,1.00,4
0.34,0.52,0.44,0.25,0.00,0
0.56,0.17,0.71,0.25,0.00,1
0.10,0.24,0.51,0.50,0.00,1
0.20,0.62,0.39,0.25,1.00,4
0.41,1.00,0.18,0.50,1.00,4
0.21,0.83,0.12,0.75,0.00,2
0.88,0.86,0.28,0.75,1.00,4
0.16,0.03,0.74,0.75,1.00,4
0.46,0.45,0.58,0.25,0.00,1
0.61,0.72,0.34,0.50,0.00,3
0.69,0.38,0.53,0.00,1.00,4
0.38,0.55,0.32,0.00,0.00,0
0.87,0.93,0.19,0.50,0.00,3
0.57,0.90,0.13,0.25,0.00,0
0.44,0.48,0.52,0.75,0.00,2
0.07,0.59,0.50,0.75,1.00,4
0.47,0.52,0.47,0.75,0.00,2
0.82,0.41,0.65,0.75,0.00,1
0.62,0.69,0.45,0.00,1.00,4
0.83,0.55,0.40,0.50,0.00,3
0.49,0.24,0.57,0.25,0.00,1
0.12,0.00,0.84,0.50,1.00,4
0.01,0.97,0.12,0.25,0.00,0
0.30,0.83,0.05,0.00,0.00,0
0.70,0.86,0.32,0.50,0.00,3
0.79,0.90,0.22,0.75,0.00,3
0.30,0.07,0.78,0.75,1.00,4
0.50,0.52,0.45,0.50,0.00,3
0.42,0.93,0.17,0.50,0.00,0
0.41,0.03,0.72,0.50,0.00,1
0.23,0.48,0.43,0.75,0.00,2
0.14,0.00,0.89,0.00,1.00,4
0.20,0.28,0.63,0.75,1.00,4
0.06,0.52,0.40,0.50,1.00,4
0.20,0.10,0.59,0.25,0.00,1
0.01,0.38,0.45,0.00,1.00,4
0.63,0.00,0.71,0.25,0.00,1
0.32,0.00,0.76,0.50,1.00,4
0.97,0.21,0.91,0.75,1.00,4
0.19,0.59,0.23,0.50,0.00,0
0.35,0.76,0.33,0.50,0.00,0
0.36,0.93,0.19,1.00,0.00,2
0.01,0.76,0.22,0.25,0.00,0
0.84,0.48,0.60,0.25,1.00,4
0.03,0.86,0.19,0.50,0.00,0
0.94,1.00,0.26,0.75,0.00,3
0.89,0.83,0.36,0.75,0.00,3
0.54,0.41,0.55,0.50,1.00,4
0.54,0.52,0.63,1.00,0.00,2
0.65,0.21,0.67,0.75,0.00,1
0.39,0.52,0.40,0.00,0.00,0
0.65,0.41,0.68,0.75,0.00,1
0.04,0.45,0.38,0.00,0.00,0
0.05,0.55,0.44,0.75,1.00,4
0.46,0.38,0.53,0.25,0.00,1
0.55,0.97,0.10,0.75,0.00,2
0.89,0.79,0.28,0.50,0.00,3
0.10,0.79,0.22,0.75,0.00,2
0.82,0.66,0.46,0.50,0.00,3
0.21,0.41,0.56,0.75,0.00,2
0.39,0.79,0.24,0.25,0.00,0
0.32,0.66,0.42,1.00,0.00,2
0.40,0.48,0.52,0.75,0.00,2
0.15,0.79,0.26,0.25,1.00,4
0.50,0.69,0.33,1.00,0.00,2
0.80,0.10,0.88,0.50,1.00,4
0.44,0.72,0.26,0.75,1.00,4
0.49,0.03,0.87,0.75,0.00,1
0.85,0.93,0.15,0.00,1.00,4
0.71,0.59,0.59,1.00,0.00,2
0.49,0.03,0.79,0.50,0.00,1
0.26,0.83,0.15,0.25,0.00,0
0.89,0.48,0.67,0.75,0.00,3
0.58,1.00,0.08,0.75,0.00,3
0.22,0.86,0.07,0.00,0.00,0
0.27,0.62,0.22,0.25,0.00,0
0.80,0.48,0.58,0.75,0.00,3
0.04,0.86,0.08,0.00,0.00,0
0.99,0.66,0.45,1.00,0.00,3
0.13,0.31,0.64,0.75,0.00,1
0.80,0.93,0.27,0.50,0.00,3
0.40,0.79,0.27,0.50,0.00,0
0.49,0.66,0.25,0.50,0.00,0
0.88,0.34,0.71,0.50,1.00,4
0.41,0.86,0.34,0.75,1.00,4
0.54,0.31,0.65,1.00,0.00,1
0.05,0.97,0.14,0.50,1.00,4
0.00,0.76,0.14,0.50,0.00,0
0.25,0.14,0.56,0.25,0.00,1
0.68,0.28,0.71,0.75,1.00,4
0.12,0.66,0.42,0.75,0.00,2
0.11,0.62,0.43,0.75,1.00,4
0.41,0.41,0.38,0.00,0.00,0
0.65,0.59,0.52,0.75,0.00,3
0.71,0.55,0.47,0.50,0.00,3
0.18,0.90,0.22,0.75,0.00,2
0.08,0.17,0.63,0.75,0.00,1
0.94,0.31,0.69,0.75,0.00,1
0.26,0.03,0.72,0.50,1.00,4
0.85,0.79,0.33,0.75,0.00,3
0.86,0.17,0.59,0.00,0.00,1
0.77,0.93,0.21,0.75,0.00,3
0.17,0.93,0.08,0.00,1.00,4
0.82,0.69,0.46,0.50,0.00,3
0.77,0.41,0.50,0.25,0.00,3
0.60,0.59,0.56,0.75,1.00,4
0.34,0.21,0.65,0.50,0.00,1
0.26,0.03,0.85,0.75,0.00,1
0.12,0.97,0.22,0.75,1.00,4
0.51,0.45,0.54,0.75,1.00,4
0.59,0.14,0.61,0.25,0.00,1
0.36,0.59,0.38,0.75,0.00,2
0.48,0.34,0.61,0.50,1.00,4
0.36,0.31,0.50,0.00,0.00,0
0.64,0.34,0.62,0.25,1.00,4
0.90,0.90,0.21,0.25,0.00,3
0.16,0.03,0.68,0.00,0.00,1
0.38,0.48,0.43,0.50,0.00,0
0.14,0.21,0.65,0.00,1.00,4
0.63,0.28,0.69,0.50,1.00,4
0.73,0.14,0.62,0.25,0.00,1
0.93,0.21,0.71,0.25,1.00,4
0.28,0.66,0.40,1.00,0.00,2
0.95,0.03,0.80,0.50,0.00,1
0.06,0.07,0.78,0.25,1.00,4
0.60,0.03,0.86,0.50,1.00,4
0.06,0.69,0.21,0.25,1.00,4
0.89,0.72,0.30,0.00,1.00,4
0.53,0.76,0.19,0.00,0.00,0
0.67,0.62,0.54,1.00,0.00,2
0.83,0.10,0.82,0.75,1.00,4
0.15,0.79,0.29,0.75,0.00,2
0.04,0.66,0.36,1.00,0.00,2
0.88,0.21,0.73,1.00,0.00,1
0.32,0.93,0.17,0.75,0.00,2
0.13,0.72,0.47,0.75,1.00,4
0.47,0.21,0.66,0.50,0.00,1
0.60,0.55,0.38,0.25,1.00,4
0.03,0.62,0.31,0.50,0.00,0
0.28,0.72,0.15,0.50,0.00,0
0.03,0.52,0.35,1.00,0.00,2
0.42,0.07,0.83,0.50,0.00,1
0.90,0.48,0.54,0.75,0.00,3
0.98,0.45,0.70,0.50,0.00,3
0.64,0.48,0.43,0.25,0.00,3
0.16,0.45,0.42,0.50,0.00,0
0.91,0.21,0.74,0.50,0.00,1
0.52,0.83,0.24,0.50,0.00,3
0.15,0.07,0.83,0.50,0.00,1
0.92,1.00,0.11,0.25,0.00,3
0.76,0.55,0.49,0.50,1.00,4
0.73,0.31,0.71,0.75,0.00,1
0.71,0.48,0.59,0.50,1.00,4
0.20,0.97,0.04,0.50,1.00,4
0.21,0.17,0.53,0.00,0.00,1
0.69,0.93,0.23,0.25,1.00,4
0.22,0.55,0.36,0.50,0.00,0
0.44,0.55,0.47,0.50,1.00,4
0.78,0.45,0.48,0.50,1.00,4
0.78,0.79,0.38,0.75,0.00,3
0.45,0.83,0.21,0.25,0.00,0
0.79,0.59,0.44,0.00,0.00,3
0.84,0.83,0.32,0.50,0.00,3
0.66,0.14,0.62,0.50,0.00,1
0.23,0.97,0.00,0.50,0.00,0
0.27,0.24,0.55,0.75,0.00,1
0.32,0.21,0.76,0.75,0.00,1
0.12,0.76,0.27,0.25,1.00,4
0.27,0.10,0.99,1.00,1.00,4
0.21,0.59,0.37,0.25,0.00,0
0.46,0.14,0.76,0.75,0.00,1
0.91,0.52,0.53,0.75,0.00,3
0.10,0.45,0.45,0.75,0.00,2
0.72,0.90,0.28,0.25,1.00,4
0.69,0.90,0.21,0.50,0.00,3
0.10,0.62,0.30,0.50,0.00,0
0.92,0.45,0.65,0.25,1.00,4
0.57,0.28,0.57,0.00,1.00,4
0.36,0.17,0.69,0.50,0.00,1
0.76,0.55,0.48,0.50,0.00,3
0.26,0.62,0.40,0.75,0.00,2
0.69,0.38,0.43,0.25,0.00,3
0.04,0.10,0.72,0.75,1.00,4
0.84,0.52,0.47,0.25,0.00,3
0.45,0.83,0.34,0.75,0.00,2
0.64,0.34,0.64,0.50,1.00,4
0.22,0.72,0.49,0.50,1.00,4
0.68,0.10,0.83,0.75,1.00,4
0.77,0.55,0.35,0.25,0.00,3
0.47,0.24,0.59,0.25,0.00,1
0.62,0.45,0.44,0.50,0.00,3
0.46,0.90,0.13,0.25,0.00,0
0.90,0.03,0.76,0.50,0.00,1
0.50,0.34,0.46,0.25,0.00,1
0.84,0.34,0.57,0.75,0.00,1
0.80,0.79,0.44,0.75,1.00,4
0.41,0.72,0.34,0.00,0.00,0
0.23,0.79,0.26,0.75,1.00,4
0.41,0.17,0.69,0.50,0.00,1
0.83,0.69,0.45,0.50,1.00,4
0.23,0.69,0.31,0.50,0.00,0
0.52,0.45,0.61,0.75,1.00,4
0.81,1.00,0.09,0.50,0.00,3
0.35,0.31,0.56,0.75,0.00,1
0.64,0.86,0.23,0.25,1.00,4
0.25,0.90,0.16,1.00,0.00,2
0.11,0.24,0.55,0.75,0.00,1
0.80,0.21,0.72,0.25,1.00,4
0.10,0.24,0.72,0.75,1.00,4
0.27,0.93,0.00,0.50,0.00,0
0.86,0.24,0.65,0.25,0.00,1
0.35,0.76,0.29,0.25,0.00,0
0.97,0.03,0.83,0.00,0.00,1
0.98,0.90,0.38,0.75,1.00,4
0.27,0.52,0.35,0.50,0.00,0
0.04,0.28,0.56,0.50,0.00,1
0.71,0.41,0.53,0.25,1.00,4
0.45,0.76,0.26,0.50,0.00,0
0.10,0.38,0.40,0.50,0.00,0
0.71,0.90,0.22,0.75,0.00,3
0.03,0.72,0.33,1.00,0.00,2
0.87,0.83,0.31,0.50,0.00,3
0.14,0.97,0.02,0.50,0.00,0
0.13,0.55,0.42,0.50,0.00,0
0.18,0.90,0.12,0.75,0.00,2
0.96,0.03,0.89,0.25,0.00,1
0.69,0.41,0.52,0.50,0.00,1
0.80,0.00,0.84,0.75,0.00,1
0.40,0.86,0.00,0.00,0.00,0
0.34,0.93,0.02,0.25,0.00,0
0.23,0.62,0.35,0.75,0.00,2
0.48,0.34,0.47,0.25,0.00,1
0.55,0.14,0.72,0.50,0.00,1
0.63,0.00,0.93,0.50,1.00,4
0.26,0.66,0.29,0.50,0.00,0
0.95,1.00,0.25,0.25,1.00,4
0.17,0.41,0.63,1.00,1.00,4
0.97,0.24,0.65,0.00,0.00,1
0.01,0.17,0.62,0.75,0.00,1
0.48,0.97,0.14,0.00,1.00,4
0.33,0.55,0.45,0.50,0.00,0
0.45,0.38,0.58,0.25,1.00,4
0.57,0.00,0.77,0.25,0.00,1
0.44,0.07,0.65,0.25,0.00,1
0.42,0.45,0.57,0.50,0.00,1
0.73,0.86,0.26,0.50,0.00,3
0.69,0.24,0.69,0.25,0.00,1
0.83,0.34,0.66,1.00,0.00,1
0.25,0.90,0.06,0.25,1.00,4
0.61,0.45,0.55,0.50,1.00,4
0.59,0.24,0.66,0.25,0.00,1
0.37,0.97,0.21,0.50,1.00,4
0.49,0.07,0.85,0.75,1.00,4
0.31,0.21,0.65,0.50,1.00,4
0.14,0.93,0.08,0.25,0.00,0
0.21,0.62,0.42,0.25,1.00,4
0.11,0.10,0.59,0.75,0.00,1
0.68,0.83,0.21,0.25,0.00,3
0.66,0.52,0.56,0.50,1.00,4
0.95,0.41,0.62,0.25,0.00,3
0.73,0.66,0.34,0.25,0.00,3
0.05,0.62,0.34,0.25,1.00,4
0.89,0.14,0.77,0.75,0.00,1
0.86,0.76,0.39,0.75,1.00,4
0.44,0.14,0.80,0.50,1.00,4
0.59,0.66,0.29,0.25,0.00,0
0.98,0.79,0.33,0.50,0.00,3
0.53,0.10,0.87,0.50,1.00,4
0.91,0.03,0.97,0.50,0.00,1
0.08,0.86,0.04,0.00,1.00,4
0.19,0.41,0.55,1.00,1.00,4
0.44,1.00,0.01,0.50,0.00,0
0.59,0.52,0.60,1.00,0.00,2
0.82,0.72,0.34,0.00,1.00,4
0.99,0.03,0.88,0.25,0.00,1
0.39,0.62,0.36,0.25,0.00,0
0.05,0.55,0.45,0.75,1.00,4
0.80,0.14,0.82,0.50,1.00,4
0.61,0.83,0.29,0.75,0.00,3
0.20,0.59,0.35,0.75,0.00,2
0.50,0.93,0.14,0.75,0.00,2
0.74,0.76,0.38,0.75,1.00,4
0.77,0.69,0.51,0.75,1.00,4
0.50,0.59,0.57,0.75,1.00,4
0.31,0.24,0.52,0.50,0.00,1
0.97,0.90,0.42,0.75,1.00,4
0.66,0.48,0.65,0.75,1.00,4
0.41,0.41,0.49,0.50,0.00,1
0.28,0.41,0.53,1.00,0.00,2
0.73,0.52,0.34,0.00,1.00,4
0.24,0.72,0.17,0.50,0.00,0
0.17,0.66,0.29,0.25,0.00,0
0.53,0.41,0.41,0.25,0.00,0
0.29,0.66,0.28,0.75,0.00,2
0.63,0.03,0.85,1.00,0.00,1
0.12,0.07,0.67,0.75,0.00,1
0.66,0.48,0.75,1.00,1.00,4
0.28,0.76,0.32,0.25,1.00,4
0.00,0.62,0.30,0.25,1.00,4
0.13,0.41,0.49,0.50,0.00,0
0.93,0.14,0.96,0.75,1.00,4
0.87,0.86,0.29,0.00,1.00,4
0.23,0.72,0.39,1.00,0.00,2
0.78,0.17,0.79,0.75,0.00,1
0.61,0.45,0.44,1.00,0.00,2
0.97,0.10,0.76,0.50,1.00,4
0.37,0.72,0.29,0.50,0.00,0
0.68,0.62,0.45,0.75,1.00,4
0.06,0.76,0.21,0.75,0.00,2
0.40,0.21,0.60,0.25,0.00,1
0.96,0.10,0.89,1.00,1.00,4
0.54,0.03,0.81,0.75,0.00,1
0.29,0.90,0.00,0.00,0.00,0
0.12,0.21,0.70,0.25,1.00,4
0.70,0.07,0.86,0.50,1.00,4
0.65,0.48,0.53,0.50,0.00,3
0.37,0.00,0.79,0.75,0.00,1
0.95,0.03,0.75,0.00,0.00,1
0.02,0.31,0.62,0.75,1.00,4
0.30,0.52,0.53,0.75,0.00,2
0.92,0.83,0.21,0.25,0.00,3
0.32,0.93,0.17,0.50,0.00,0
0.25,0.48,0.43,0.25,1.00,4
0.53,0.79,0.31,0.25,1.00,4
0.82,0.48,0.48,0.50,1.00,4
0.10,0.45,0.55,1.00,0.00,2
0.94,0.72,0.44,0.25,1.00,4
0.80,0.45,0.48,0.50,0.00,3
0.18,0.17,0.70,0.25,0.00,1
0.71,0.45,0.53,0.25,1.00,4
0.39,0.55,0.34,0.50,0.00,0
0.40,0.59,0.43,0.75,0.00,2
0.78,0.66,0.30,0.00,1.00,4
0.96,0.62,0.38,1.00,0.00,3
0.13,1.00,0.03,0.00,0.00,0
0.42,0.55,0.39,0.75,0.00,2
0.48,0.52,0.52,0.75,0.00,2
0.38,0.24,0.75,0.50,1.00,4
0.36,0.21,0.52,0.25,0.00,1
0.05,0.66,0.44,0.50,1.00,4
0.69,0.93,0.27,0.75,0.00,3
0.44,0.38,0.57,0.75,0.00,1
0.19,0.28,0.53,0.50,0.00,1
0.82,0.90,0.19,0.50,1.00,4
0.80,0.45,0.47,0.75,0.00,3
0.49,0.66,0.40,1.00,1.00,4
0.30,0.00,0.88,0.75,0.00,1
0.64,0.31,0.66,0.75,1.00,4
0.29,0.55,0.46,0.50,1.00,4
0.24,0.55,0.46,0.75,1.00,4
0.73,0.55,0.44,0.75,1.00,4
0.04,0.10,0.80,0.75,0.00,1
0.09,0.55,0.32,0.50,1.00,4
0.01,0.59,0.36,0.50,0.00,0
0.15,0.66,0.27,0.50,0.00,0
0.07,0.76,0.21,0.50,0.00,0
1.00,0.03,0.78,0.50,0.00,1
0.29,0.24,0.63,0.75,0.00,1
0.15,0.41,0.42,0.50,0.00,0
0.24,0.76,0.20,0.25,0.00,0
0.94,0.83,0.28,0.75,0.00,3
0.52,1.00,0.08,0.75,0.00,2
0.37,0.72,0.37,0.50,1.00,4
0.87,0.66,0.42,0.25,1.00,4
0.40,0.72,0.48,1.00,1.00,4
0.34,0.48,0.49,0.75,0.00,2
0.21,0.66,0.27,0.25,0.00,0
0.38,0.76,0.24,0.00,1.00,4
0.32,0.28,0.67,0.50,1.00,4
0.68,0.07,0.88,0.75,1.00,4
0.29,0.07,0.70,0.25,0.00,1
0.58,0.03,0.87,0.50,0.00,1
0.07,0.00,0.90,0.50,1.00,4
0.19,0.45,0.39,0.75,0.00,2
0.41,0.55,0.47,0.50,0.00,0
0.94,0.41,0.59,0.50,1.00,4
0.38,0.62,0.61,1.00,1.00,4
0.66,1.00,0.10,0.25,0.00,3
0.26,0.76,0.18,0.25,0.00,0
0.13,0.48,0.64,0.75,1.00,4
0.06,0.90,0.18,0.25,0.00,0
0.31,0.83,0.40,0.75,1.00,4
0.16,0.45,0.51,0.00,1.00,4
0.17,0.03,0.78,0.25,1.00,4
0.76,0.21,0.88,1.00,1.00,4
0.02,0.55,0.51,0.50,0.00,0
0.56,0.59,0.44,0.75,0.00,2
0.38,0.17,0.66,0.25,0.00,1
0.51,0.90,0.07,0.25,0.00,0
0.56,0.69,0.43,0.75,0.00,2
0.31,0.24,0.53,0.50,0.00,1
0.30,0.93,0.21,0.50,1.00,4
0.73,0.90,0.14,0.00,0.00,3
0.87,0.03,0.84,0.50,0.00,1
0.19,0.00,0.82,0.75,0.00,1
0.10,0.52,0.39,0.75,0.00,2
0.90,0.21,0.71,0.75,0.00,1
0.35,0.72,0.28,0.75,0.00,2
0.55,0.79,0.35,0.50,0.00,3
0.36,0.34,0.55,0.50,1.00,4
0.13,0.48,0.56,0.75,1.00,4
0.59,0.41,0.56,0.25,1.00,4
0.53,1.00,0.10,0.25,0.00,0
0.20,0.79,0.37,1.00,0.00,2
0.45,0.03,0.67,0.00,0.00,1
0.80,0.45,0.46,0.25,0.00,3
0.59,0.79,0.19,0.50,0.00,3
0.10,0.17,0.73,0.75,0.00,1
0.55,0.28,0.76,0.50,1.00,4
0.70,0.93,0.23,0.50,0.00,3
0.79,0.21,0.87,1.00,0.00,1
0.63,0.59,0.46,0.75,0.00,2
0.15,0.79,0.30,0.75,0.00,2
0.71,0.28,0.61,0.00,1.00,4
0.68,0.76,0.23,0.25,0.00,3
0.02,0.10,0.77,0.50,0.00,1
0.41,0.28,0.54,0.25,0.00,1
0.33,0.10,0.64,0.00,0.00,1
0.67,0.38,0.61,0.25,0.00,1
0.22,0.10,0.87,0.50,1.00,4
0.59,0.83,0.36,0.75,1.00,4
0.91,1.00,0.23,0.75,1.00,4
0.80,0.79,0.23,0.00,0.00,3
0.92,0.66,0.46,0.50,0.00,3
0.98,0.45,0.52,0.25,0.00,3
0.01,0.79,0.22,0.50,1.00,4
0.62,0.79,0.36,0.50,1.00,4
0.41,0.21,0.77,0.50,1.00,4
0.86,0.86,0.28,0.75,0.00,3
0.25,0.41,0.52,0.75,0.00,2
0.98,0.72,0.39,0.75,0.00,3
0.61,0.24,0.62,0.75,0.00,1
0.79,0.76,0.28,0.75,0.00,3
0.09,0.14,0.67,0.75,0.00,1
0.18,0.38,0.42,0.50,1.00,4
0.76,0.41,0.61,0.50,0.00,1
0.02,0.97,0.10,0.75,0.00,2
0.82,0.66,0.16,0.00,0.00,3
0.01,0.45,0.45,0.75,0.00,2
0.66,0.93,0.24,1.00,1.00,4
0.37,0.59,0.48,0.75,0.00,2
0.61,0.90,0.25,0.00,0.00,0
0.70,0.79,0.34,0.50,1.00,4
0.34,0.83,0.18,0.75,0.00,2
0.11,0.66,0.38,1.00,0.00,2
0.07,0.10,0.84,0.50,1.00,4
0.59,0.69,0.44,0.75,1.00,4
0.52,0.59,0.45,0.75,0.00,2
0.74,0.21,0.79,0.25,0.00,1
0.51,0.48,0.50,0.75,0.00,2
0.42,0.69,0.43,0.50,1.00,4
0.40,0.17,0.78,0.50,0.00,1
0.03,0.52,0.36,0.50,1.00,4
0.34,0.66,0.41,0.75,1.00,4
0.98,0.79,0.55,0.75,1.00,4
0.87,0.24,0.78,0.50,0.00,1
0.33,0.93,0.12,0.75,0.00,2
0.59,0.69,0.26,0.75,0.00,2
0.85,0.52,0.60,0.75,1.00,4
0.44,0.93,0.07,0.50,0.00,0
0.02,0.72,0.11,0.00,0.00,0
0.07,0.52,0.39,0.50,0.00,0
0.51,0.07,0.92,0.75,0.00,1
0.97,0.55,0.53,0.25,0.00,3
0.69,0.28,0.82,1.00,0.00,1
0.07,0.83,0.11,0.75,0.00,2
0.19,0.07,0.71,0.75,0.00,1
0.77,0.66,0.44,0.75,0.00,3
0.84,0.97,0.20,0.50,1.00,4
0.62,0.21,0.88,0.75,1.00,4
0.65,0.59,0.40,0.50,0.00,3
0.03,0.38,0.47,0.75,0.00,2
0.83,0.62,0.60,0.75,1.00,4
0.79,0.52,0.53,0.75,0.00,3
0.26,0.72,0.27,0.75,0.00,2
0.71,0.90,0.08,0.00,0.00,0
0.22,0.79,0.13,0.00,0.00,0
0.04,0.55,0.37,0.75,0.00,2
0.20,0.66,0.22,0.25,1.00,4
0.18,0.48,0.51,0.50,1.00,4
0.34,0.00,0.82,0.50,0.00,1
0.42,0.03,0.65,0.00,0.00,1
0.51,0.24,0.55,0.00,0.00,1
0.48,0.72,0.41,0.75,0.00,2
0.27,0.83,0.12,0.75,0.00,2
0.03,0.03,0.80,0.50,0.00,1
0.61,0.62,0.52,1.00,1.00,4
0.40,0.28,0.57,0.25,0.00,1
0.30,0.28,0.62,0.25,1.00,4
0.87,0.41,0.66,0.75,0.00,1
0.75,0.17,0.84,0.75,0.00,1
0.86,1.00,0.21,0.50,0.00,3
0.50,0.48,0.59,1.00,0.00,2
0.13,0.62,0.48,1.00,1.00,4
0.70,0.69,0.25,0.00,0.00,0
0.21,0.48,0.39,0.25,0.00,0
0.44,0.59,0.31,0.75,0.00,2
0.07,0.21,0.62,0.50,0.00,1
0.83,0.86,0.24,0.00,0.00,3
0.13,0.34,0.52,0.75,0.00,2
0.90,0.24,0.74,0.50,1.00,4
0.87,0.17,0.79,0.50,1.00,4
0.47,0.24,0.66,0.25,0.00,1
0.75,0.03,0.78,0.75,0.00,1
0.62,0.62,0.36,0.50,0.00,3
0.80,0.52,0.51,0.25,0.00,3
0.43,0.21,0.73,0.50,1.00,4
0.79,0.31,0.80,0.50,1.00,4
0.46,0.38,0.65,1.00,0.00,2
0.94,0.55,0.59,1.00,0.00,3
0.49,0.21,0.56,0.25,1.00,4
0.46,0.72,0.44,0.75,1.00,4
0.79,0.24,0.74,0.75,0.00,1
0.82,0.21,0.77,0.75,0.00,1
0.56,0.10,0.70,0.50,0.00,1
0.18,0.07,0.66,0.00,1.00,4
0.47,0.62,0.35,0.75,0.00,2
0.97,0.48,0.61,0.25,1.00,4
0.75,0.10,0.66,0.25,0.00,1
0.81,0.83,0.37,0.75,0.00,3
0.03,0.28,0.60,1.00,0.00,2
0.47,0.41,0.58,0.25,1.00,4
0.65,0.59,0.40,0.75,0.00,3
0.83,0.69,0.42,0.50,1.00,4
0.05,0.52,0.47,0.75,0.00,2
0.85,0.00,0.87,0.50,1.00,4
0.55,0.10,0.84,0.25,1.00,4
0.20,0.59,0.21,0.25,0.00,0
0.32,0.24,0.66,0.50,1.00,4
0.28,0.66,0.22,0.25,0.00,0
0.53,0.52,0.42,0.00,0.00,0
0.05,0.69,0.23,0.75,0.00,2
0.16,0.34,0.60,0.50,1.00,4
0.81,0.66,0.53,0.75,1.00,4
0.13,0.69,0.26,0.25,0.00,0
0.23,0.69,0.38,0.75,1.00,4
0.45,0.69,0.45,0.50,0.00,0
0.52,0.90,0.15,0.00,1.00,4
0.76,0.62,0.35,0.50,0.00,3
0.45,0.76,0.31,0.00,0.00,0
0.79,0.62,0.48,0.75,0.00,3
0.62,0.59,0.58,0.75,0.00,2
0.11,0.62,0.45,0.50,0.00,0
0.16,0.34,0.59,0.25,0.00,1
0.44,0.07,0.70,0.25,0.00,1
0.40,0.24,0.74,0.50,1.00,4
0.74,0.66,0.45,0.75,0.00,3
0.58,0.62,0.29,0.25,1.00,4
0.39,0.31,0.57,0.00,0.00,1
0.17,0.52,0.42,0.50,0.00,0
0.23,0.14,0.69,0.50,0.00,1
0.58,0.66,0.30,0.25,1.00,4
0.42,0.28,0.73,0.50,1.00,4
0.52,0.24,0.67,0.50,0.00,1
0.17,0.34,0.57,0.50,0.00,1
0.66,0.52,0.36,0.50,0.00,3
0.85,0.21,0.75,0.75,0.00,1
0.26,0.48,0.35,0.00,1.00,4
0.49,0.79,0.23,0.25,0.00,0
0.98,0.97,0.25,0.50,0.00,3
0.33,0.69,0.35,0.50,1.00,4
0.60,0.66,0.47,0.50,1.00,4
0.09,0.76,0.31,0.75,0.00,2
0.61,0.55,0.53,0.75,0.00,2
0.09,0.17,0.61,0.25,0.00,1
0.96,0.48,0.56,0.75,0.00,3
0.72,0.24,0.67,0.50,0.00,1
0.79,0.21,0.78,0.25,1.00,4
0.70,0.03,0.94,1.00,1.00,4
0.59,1.00,0.20,0.75,0.00,3
0.45,0.41,0.74,1.00,0.00,2
0.86,1.00,0.18,0.25,0.00,3
0.96,0.76,0.30,0.25,0.00,3
0.50,0.97,0.07,0.50,0.00,0
0.93,0.17,0.82,0.75,0.00,1
0.58,0.97,0.05,0.25,0.00,0
0.54,0.14,0.88,0.75,0.00,1
0.45,0.66,0.40,0.50,0.00,0
0.21,0.00,0.84,0.50,0.00,1
0.00,0.97,0.01,0.75,0.00,2
0.24,0.59,0.41,0.75,0.00,2
0.51,0.48,0.43,0.00,0.00,0
0.38,0.76,0.37,1.00,0.00,2
0.45,0.31,0.75,0.50,0.00,1
0.98,0.07,0.88,0.00,1.00,4
0.35,0.14,0.73,0.75,0.00,1
0.45,0.79,0.34,1.00,0.00,2
0.13,0.97,0.05,0.75,0.00,2
0.05,0.41,0.56,0.75,0.00,2
0.78,0.24,0.79,0.75,1.00,4
0.57,0.72,0.50,1.00,1.00,4
0.76,0.69,0.25,0.00,0.00,3
0.15,0.97,0.13,0.75,0.00,2
0.57,0.03,0.87,0.75,0.00,1
0.25,0.28,0.50,0.00,0.00,0
0.23,0.55,0.42,0.50,0.00,0
0.01,0.90,0.03,0.50,0.00,0
0.13,0.59,0.48,0.75,0.00,2
0.31,0.41,0.30,0.00,0.00,0
0.12,0.00,0.80,0.75,1.00,4
0.99,0.38,0.55,0.25,0.00,3
0.31,0.66,0.29,0.50,0.00,0
0.13,0.66,0.17,0.75,0.00,2
0.20,0.69,0.38,0.50,0.00,0
0.59,0.14,0.79,0.50,1.00,4
0.06,0.24,0.45,0.00,0.00,0
0.86,0.90,0.28,0.75,1.00,4
0.96,0.48,0.50,1.00,0.00,3
0.25,0.90,0.22,1.00,1.00,4
0.45,0.07,1.00,0.75,1.00,4
0.02,0.17,0.58,0.25,0.00,1
0.64,0.93,0.15,0.25,0.00,3
0.41,0.41,0.68,0.25,1.00,4
0.27,0.38,0.52,0.50,0.00,1
0.21,0.62,0.30,0.25,0.00,0
0.65,0.97,0.14,0.25,0.00,3
0.42,0.59,0.29,0.75,0.00,2
